
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
11254,4,0,17,2022-05-22 09:15:00.000,230002,,2022-05-22 09:15:59.266,2022-05-22 09:15:59.266,17,1.1666666,13.13,0.71,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 09:15:59.999,17e415e8-187d-176f-7e10-e3ed97e3ff49,
59172,4,0,116,2022-05-22 14:06:00.000,230002,,2022-05-22 14:09:15.428,2022-05-22 14:09:15.428,116,1.5833334,93.69,4.64,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 14:06:59.999,0ad9cc46-8d4a-fa0a-fc8c-4292773bef6f,
7008,4,0,12,2022-05-22 10:07:00.000,230002,,2022-05-22 10:09:46.386,2022-05-22 10:09:46.385,12,1.3055556,9.15,0.48,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 10:07:59.999,b38fadb4-689b-bbca-275a-bae2204287f1,
58814,4,0,108,2022-05-22 14:03:00.000,,,2022-05-22 14:12:07.429,2022-05-22 14:12:07.429,108,1.4166666,83.32,4.32,UTC+0200,zub8fSqg+I,com.sec.android.app.shealth,2022-05-22 14:04:00.000,a7ef5ed4-f45a-480c-901f-21063eaca05a,
6818,4,0,12,2022-05-22 09:31:00.000,230002,,2022-05-22 09:32:56.347,2022-05-22 09:32:56.347,12,1.4166666,9.66,0.46,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 09:31:59.999,c046bc05-ab56-511a-3b30-004a0e42125e,
45435,4,0,80,2022-05-22 14:09:00.000,,,2022-05-22 14:12:07.752,2022-05-22 14:12:07.752,80,1.3333334,60.58,3.19,UTC+0200,zub8fSqg+I,com.sec.android.app.shealth,2022-05-22 14:10:00.000,84b0393e-272f-44cc-ae2f-579df526544d,
12790,4,0,23,2022-05-22 09:20:00.000,230002,,2022-05-22 09:26:33.361,2022-05-22 09:26:33.361,23,1.4166666,18.12,0.92,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 09:20:59.999,4345b6e8-9ce4-4cb0-38cc-a580e8877d7b,
13860,4,0,20,2022-05-22 14:10:00.000,230002,,2022-05-22 14:11:09.399,2022-05-22 14:11:09.399,20,1.0555556,14.63,0.89,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 14:10:59.999,61f57571-b67b-7a42-5a46-a234a0e42f9b,
10690,4,0,18,2022-05-22 10:54:00.000,230002,,2022-05-22 10:55:00.971,2022-05-22 10:55:00.971,18,1.2777778,13.66,0.75,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 10:54:59.999,9436eb74-9615-02e7-7370-5a22f3dc1022,
7296,4,0,11,2022-05-22 09:38:00.000,230002,,2022-05-22 09:44:18.288,2022-05-22 09:44:18.288,11,1.1388888,8.31,0.43,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 09:38:59.999,a6f26adc-e68b-f5fc-63ce-b972a9141f51,
60000,4,0,110,2022-05-22 14:17:00.000,,,2022-05-22 14:26:46.398,2022-05-22 14:26:46.398,110,1.4066666,84.4,4.4,UTC+0200,zub8fSqg+I,com.sec.android.app.shealth,2022-05-22 14:18:00.000,2b4dca2e-e674-4b3b-b92e-498a113dd0cd,
60000,4,142,25,2022-05-22 14:24:00.000,,,2022-05-22 14:26:46.879,2022-05-22 14:26:46.879,167,3.1073334,186.44,13.87,UTC+0200,zub8fSqg+I,com.sec.android.app.shealth,2022-05-22 14:25:00.000,f0c45503-625e-40a1-85b5-93337a8d3180,
8524,4,0,15,2022-05-22 10:12:00.000,230002,,2022-05-22 10:14:03.391,2022-05-22 10:14:03.390,15,1.3888888,11.84,0.63,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 10:12:59.999,d95e4f63-d9f2-5a6b-e255-163df9cf35f8,
6176,4,0,11,2022-05-22 11:24:00.000,230002,,2022-05-22 11:35:01.142,2022-05-22 11:35:01.142,11,1.4166666,8.75,0.42,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 11:24:59.999,3effc3d6-aa54-db3b-e48d-4b27c8e9e22b,
37182,4,0,65,2022-05-22 14:20:00.000,230002,,2022-05-22 14:25:18.392,2022-05-22 14:25:18.392,65,1.3611112,50.61,2.58,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 14:20:59.999,c5a5aca2-8218-3e0f-7dc4-488c4e64ca5a,
