5,Data Engineer - Python / PlanerAI / Kundenservice / Home Office (m/w/d),Gestern,Campusjäger by Workwise,Gelsenkirchen,Wir suchen zum nächstmöglichen Zeitpunkt Verstärkung für unser Jobangebot Data Engineer - Python / PlanerAI / Kundenservice / Home Office (m/w/d).,https://www.xing.com/jobs/gelsenkirchen-data-engineer-python-planerai-kundenservice-home-office-98396187,xing,2023-03-17 11:40:48,Data Engineer
6,Data Engineer - Python / PlanerAI / Kundenservice / Home Office (m/w/d),Gestern,Campusjäger by Workwise,Bielefeld,Wir suchen zum nächstmöglichen Zeitpunkt Verstärkung für unser Jobangebot Data Engineer - Python / PlanerAI / Kundenservice / Home Office (m/w/d).,https://www.xing.com/jobs/bielefeld-data-engineer-python-planerai-kundenservice-home-office-98395730,xing,2023-03-17 11:40:48,Data Engineer
7,Data Engineer - Python / PlanerAI / Kundenservice / Home Office (m/w/d),Gestern,Campusjäger by Workwise,Münster,Wir suchen zum nächstmöglichen Zeitpunkt Verstärkung für unser Jobangebot Data Engineer - Python / PlanerAI / Kundenservice / Home Office (m/w/d).,https://www.xing.com/jobs/muenster-data-engineer-python-planerai-kundenservice-home-office-98395391,xing,2023-03-17 11:40:48,Data Engineer
8,"(Senior) Consultant / Data Engineer Snowflake, SAS, Informatica oder Microsoft Azure (all genders)",Gestern,adesso SE,Dortmund,"Als (Senior) Data Engineer bist du Teil eines innovativen Teams und wirkst bei anspruchsvollen IT-Projekten mit, die unseren Kunden durch modernste Daten Architekturen",https://www.xing.com/jobs/dortmund-senior-consultant-data-engineer-snowflake-sas-informatica-microsoft-azure-all-genders-98389897,xing,2023-03-17 11:40:48,Data Engineer
9,"SAS Administrator | SAS Analytics Software, Linux, Java-Stack, Big Data | Inhouse (mwd)",Vor 2 Tagen,Vesterling AG,Paderborn,"Sie wirken als SAS Administrator an der Konzeption, am Aufbau, dem sicheren Betrieb und der Optimierung von Big Data Systemlandschaften mit.",https://www.xing.com/jobs/paderborn-sas-administrator-sas-analytics-software-linux-java-stack-big-data-inhouse-mwd-98382956,xing,2023-03-17 11:40:48,Data Engineer
10,"SAS Administrator | SAS Analytics Software, Linux, Java-Stack, Big Data | Inhouse (mwd)",Vor 2 Tagen,Vesterling AG,Dortmund,"Sie wirken als SAS Administrator an der Konzeption, am Aufbau, dem sicheren Betrieb und der Optimierung von Big Data Systemlandschaften mit.",https://www.xing.com/jobs/dortmund-sas-administrator-sas-analytics-software-linux-java-stack-big-data-inhouse-mwd-98382954,xing,2023-03-17 11:40:48,Data Engineer
11,"Linux-Systemadministrator | Anwendungsbetrieb im Java-Umfeld, BI, Big Data (mwd)",Vor 2 Tagen,Vesterling AG,Dortmund,Als Linux Systems Engineer betreiben Sie bei einem etablierten IT-Beratungshaus Lösungen für SAS Business Intelligence und Big Data.,https://www.xing.com/jobs/dortmund-linux-systemadministrator-anwendungsbetrieb-java-umfeld-bi-big-data-mwd-98382949,xing,2023-03-17 11:40:48,Data Engineer
12,"Linux-Systemadministrator | Anwendungsbetrieb im Java-Umfeld, BI, Big Data (mwd)",Vor 2 Tagen,Vesterling AG,Paderborn,Als Linux Systems Engineer betreiben Sie bei einem etablierten IT-Beratungshaus Lösungen für SAS Business Intelligence und Big Data.,https://www.xing.com/jobs/paderborn-linux-systemadministrator-anwendungsbetrieb-java-umfeld-bi-big-data-mwd-98382945,xing,2023-03-17 11:40:48,Data Engineer
13,Data Engineer - Data Warehouse / Datenpflege / Home Office (m/w/d),Vor 2 Tagen,Campusjäger by Workwise,Gelsenkirchen,Engineer - Data Warehouse / Datenpflege / Home Office (m/w/d) klingt vielversprechend?,https://www.xing.com/jobs/gelsenkirchen-data-engineer-data-warehouse-datenpflege-home-office-98363454,xing,2023-03-17 11:40:48,Data Engineer
14,Data Engineer - Data Warehouse / Datenpflege / Home Office (m/w/d),Vor 2 Tagen,Campusjäger by Workwise,Dortmund,Engineer - Data Warehouse / Datenpflege / Home Office (m/w/d) klingt vielversprechend?,https://www.xing.com/jobs/dortmund-data-engineer-data-warehouse-datenpflege-home-office-98364215,xing,2023-03-17 11:40:48,Data Engineer
15,Data Engineer - Data Warehouse / Datenpflege / Home Office (m/w/d),Vor 2 Tagen,Campusjäger by Workwise,Bochum,Engineer - Data Warehouse / Datenpflege / Home Office (m/w/d) klingt vielversprechend?,https://www.xing.com/jobs/bochum-data-engineer-data-warehouse-datenpflege-home-office-98364182,xing,2023-03-17 11:40:48,Data Engineer
16,Data Engineer - Data Warehouse / Datenpflege / Home Office (m/w/d),Vor 2 Tagen,Campusjäger by Workwise,Münster,Engineer - Data Warehouse / Datenpflege / Home Office (m/w/d) klingt vielversprechend?,https://www.xing.com/jobs/muenster-data-engineer-data-warehouse-datenpflege-home-office-98364181,xing,2023-03-17 11:40:48,Data Engineer
17,Data Engineer - Data Warehouse / Datenpflege / Home Office (m/w/d),Vor 2 Tagen,Campusjäger by Workwise,Bielefeld,Engineer - Data Warehouse / Datenpflege / Home Office (m/w/d) klingt vielversprechend?,https://www.xing.com/jobs/bielefeld-data-engineer-data-warehouse-datenpflege-home-office-98363856,xing,2023-03-17 11:40:48,Data Engineer
18,Data Engineer (m/w/d),Vor 3 Tagen,"Computer Futures, ein Geschäftszweig von SThree",Münster,"Engineering, Datenmanagement oder einer verwandten Rolle Erfahrung in der Entwicklung und Verwaltung von Datenbanken und Data Warehouse Systemen in den gängigen",https://www.xing.com/jobs/muenster-data-engineer-98342219,xing,2023-03-17 11:40:48,Data Engineer
19,Data Architect,Vor 3 Tagen,Computer Futures,Holzwickede,Data Archtitect (m/w/d) in unbefristeter Festanstellung in Holzwickede .,https://www.xing.com/jobs/holzwickede-data-architect-98341684,xing,2023-03-17 11:40:48,Data Engineer
